KEY,English,Portuguese
Sound,Sound,Som
Music,Music,Musica
TAP&HOLD,Tap and hold to play,Toque e segure para jogar
SOLD_OUT,Sold Out,Vendido
SHOP_RAY,INCREASE RAYS,AUMENTAR RAIOS
SHOP_DAMAGE,DAMAGE INCREASE,AUMENTAR DANOS
SHOP_RANGE,RANGE INCREASE,AUMENTAR ALCANCE
GAME_STATS,GAME STATS,ESTATÍSTICAS
DAILY_MISSIONS,DAILY MISSIONS,MISSÕES DIÁRIAS
WORLD_RANKING,WORLD RANKING,RANKING GLOBAL
FRIENDS_RANKING,FRIENDS RANKING,RANKING DE AMIGOS
HEIGHT,Height:,Altura:
WEIGHT,Weight:,Peso:
DESCRIPTION,Description,Descrição
C1_DESCRIPTION,"Watch for his special ability: wait... he doesn't have a special ability.",Cuidado com sua habilidade especial: pera... ele não tem nenhuma.
C2_DESCRIPTION,"He tries to get you rotating, rotating, rotating...","Ele tentará te pegar rodando, rodando, rodando..."
C3_DESCRIPTION,"Zig from here, zag from there, zigzag from everywhere.","Zig aqui, zag acolá, zigzag em todo lugar."
C4_DESCRIPTION,Charging in 5.. 4.. 3.. 2.. 1.. and... Gotcha!,Carregando em 5.. 4.. 3.. 2.. 1.. e.. Pegou!
C5_DESCRIPTION,"He'll never be alone. His minions will protecte and fight 'till death.",Ele nunca virá sozinho. Seus servos o protegerão até o fim.
C7_DESCRIPTION,Guess who will never let you go?,Adivinhe quem nunca te deixará partir?
BOSS1_DESCRIPTION,"Born out of a giant meteor, he'll crush you with more meteor. It seems like it's the only thing he knows to do.","Nascido de um meteoro, ele irá te esmagar com mais meteoros. Parece que é a única coisa que ele sabe fazer."
BOSS2_DESCRIPTION,"Twins at birth, one cannot live without the other. Each of its parts contains a heart and, some says, a soul.","Gêmeos ao nascimento, um não pode viver sem o outro. Cada parte contêm um coração e, alguns dizem, uma alma."
