KEY,English,Portuguese,
Sound,Sound,Som,
Music,Music,Música,
TAP&HOLD,Tap and hold to play,Toque e segure para jogar,
SOLD_OUT,Sold Out, Vendido,
SHOP_RAY,INCREASE RAYS,AUMENTAR O NÚMERO DE RAIOS,
SHOP_DAMAGE,INCREASE DAMAGE,AUMENTAR O DANO,
SHOP_RANGE,INCREASE RANGE,AUMENTAR O ALCANCE,
GAME_STATS,GAME STATS,ESTATÍSTICAS,
DAILY_MISSIONS,DAILY MISSIONS,MISSÕES DIÁRIAS,
WORLD_RANKING,WORLD RANKING,RANKING GLOBAL,
FRIENDS_RANKING,FRIENDS RANKING,RANKING DE AMIGOS,
HEIGHT,Height:,Altura:,
WEIGHT,Weight:,Peso:,
DESCRIPTION,Description,Descrição,
C1_DESCRIPTION,Watch out for its special ability: wait... it doesn't have a special ability.,Cuidado com a sua habilidade especial: pera... ele não tem uma.,
C2_DESCRIPTION,"It'll try to get you by spinning, spinning, spinning around.","Ele tentará te pegar rodando, rodando, rodando...",
C3_DESCRIPTION,"Zig here, zag there, zigzag everywhere.","Zigue aqui, zague acolá, zigue-zague em todo lugar.",
C4_DESCRIPTION,Charging in 5... 4... 3... 2... 1... and... Gotcha!,Carregando em 5... 4... 3... 2... 1... e... Te peguei!,
C5_DESCRIPTION,It's never alone. Its minions will protect it and fight 'till death.,Ele nunca está sozinho. Seus servos o protegerão e lutarão até o fim.,
C7_DESCRIPTION,Guess who will never let you go?,Adivinha quem nunca mais vai te largar?,
BOSS1_DESCRIPTION,"Born out of a giant meteor, it'll crush you with more meteors. It seems like it's the only thing it knows how to do.","Nascido de um meteoro, ele irá te esmagar com mais meteoros. Parece que é a única coisa que sabe fazer.",
BOSS2_DESCRIPTION,"Twins. One cannot live without the other. Each of their parts have a heart and, some say, a soul.","Gêmeos. Um não pode viver sem o outro. Cada uma de suas partes tem um coração e, alguns dizem, uma alma.",
BOSS3_DESCRIPTION,"A master of illusion, this is a tough one, especially since you don't know which is the real one. Its illusions are exact copies of it.","Um mestre das ilusões, esse vai ser difícil, especialmente porque você não sabe qual é o verdadeiro. Cada ilusão é uma cópia exata dele.",
RESTORE,RESTORE PURCHASE,RESTAURAR COMPRAS,
CREDITS,CREDITS,CRÉDITOS,
SETTINGS,SETTINGS,OPÇÕES,
ACHIEVEMENTS,ACHIEVEMENTS,CONQUISTAS,
FingerOff,You took your finger off the screen,Você tirou o dedo da tela,
LifeOut,You got hit!,Você foi atingido!,
VIDEO_TO_ORBS,Do you want to watch a video to earn {0} orbs?,Gostaria de assistir a um vídeo para ganhar {0} orbes?,
VIDEO_TO_PLAY,Do you want to watch a video to continue playing?,Gostaria de assistir a um vídeo para continuar jogando?,
INFINITY_ORBS_TO_PLAY,"But you have the infinity orbs cheat. Would you like to proceed, m'lord?","Mas você tem o cheat de orbes infinitas. Deseja continuar, mestre?",
WANT_TO_SPEND,Do you want to spend {0} orbs to continue playing?,Deseja gastar {0} orbes para continuar a jogar?,
YOU_HAVE,You have {0} orbs,Você tem {0} orbes,
NOT_ENOUGH_ORBS,You don't have enough orbs to continue playing,Você não tem orbes suficientes para continuar jogando,
YOU_RECEIVED,You received {0} orbs,Você recebeu {0} orbes,
TRY_AGAIN,Try again,Tente novamente,
FINGER_ON_SCREEN,Put your finger on the screen,Coloque o seu dedo na tela,
TUTORIAL,Don't let the CREEPIES hit you! But stay close to kill them,Não deixe os CREEPYS te pegar! Mas fique perto para matá-los,
ORBS_COLLECTED,Orbs Collected,Orbes Coletadas,
POINTS,Points,Pontos,
